File Name,Polarity Score,Subjectivity Score,Avg Sentence Length,Percentage of Complex Words,Fog Index,Avg Words per Sentence,Complex Word Count,Word Count,Syllables per Word,Personal Pronouns,Avg Word Length
86.txt,0.111538462,0.319871795,20,12.94117647,11.63,20,44,340,1.614705882,5,5.858823529
87.txt,0.104850453,0.375403384,20.9047619,13.8952164,9.82,20.9047619,61,439,1.544419134,6,5.756264237
88.txt,0.043850267,0.242698478,20.76190476,12.8440367,8.73,20.76190476,56,436,1.582568807,9,5.474770642
89.txt,0.148760331,0.389807163,102.3333333,7.491856678,43.02,102.3333333,23,307,1.426710098,5,4.908794788
9.txt,0.103344156,0.407809524,24.55172414,30.75842697,14.95,24.55172414,219,712,2.078651685,9,6.64747191
90.txt,-0.233333333,0.491666667,114.3333333,13.41107872,49.47,114.3333333,46,343,1.501457726,4,5.364431487
91.txt,0.151424964,0.391305916,25.8,17.73255814,12.77,25.8,183,1032,1.646317829,36,5.550387597
92.txt,0.112288739,0.470261223,25.09302326,17.88693234,12.65,25.09302326,193,1079,1.621872104,23,5.406858202
93.txt,0.026282051,0.312435897,27.33333333,19.91869919,14.39,27.33333333,49,246,1.74796748,2,6.113821138
94.txt,0.072916667,0.235149573,23.64705882,11.69154229,11.81,23.64705882,47,402,1.532338308,12,5.146766169
95.txt,0.117261905,0.30952381,24.1,17.01244813,14.22,24.1,41,241,1.676348548,4,5.979253112
96.txt,0.030642424,0.371163636,29.30769231,12.33595801,13.49,29.30769231,47,381,1.532808399,12,5.362204724
97.txt,0.077083333,0.363657407,24.3,18.93004115,13.74,24.3,46,243,1.716049383,6,5.901234568
98.txt,0.087566138,0.356977513,33.6,21.62698413,17.59,33.6,109,504,1.744047619,6,5.83531746
99.txt,0.133229814,0.414803313,15.75,14.28571429,10.03,15.75,36,252,1.611111111,7,5.619047619
urls.txt,0,0,147,100,100.16,147,147,147,19.04081633,0,93.73469388
